K10914	Crp:b3357
K05367	PbpC:b2519
K00855	PrkB:b3355
K01048	PldB:b3825
K01058	PldA:b3821
K03576	MetR:b3828
K00549	MetE:b3829
K06941	RlmN:b2517
K03654	RecQ:b3822
K03526	IspG:b2515
K01892	HisS:b2514
K00940	Ndk:b2518
K14219	ArgV:b2694
K14233	SerV:b2695
K11139	HlyE:b1182
K02195	CcmC:b2199
K02196	CcmD:b2198
K02199	CcmG:b2195
K01624	FbaA:b2925
K07685	NarP:b2193
K02111	AtpA:b3734
K02113	AtpH:b3735
K02109	AtpF:b3736
K02110	AtpE:b3737
K04042	GlmU:b3730
K02114	AtpC:b3731
K02112	AtpD:b3732
K02115	AtpG:b3733
K00554	TrmD:b2607
K02884	RplS:b2606
K02108	AtpB:b3738
K01626	AroF:b2601
K14187	TyrA:b2600
K13694	Spr:b2175
K13893	YejA:b2177
K05814	UgpA:b3452
K02356	YeiP:b2171
K03291	SetB:b2170
K01995	LivG:b3455
K13895	YejE:b2179
K13894	YejB:b2178
K01996	LivF:b3454
K06282	HybO:b2997
K06281	HybC:b2994
K01521	Cdh:b3918
K01803	TpiA:b3919
K01087	OtsB:b1897
K00697	OtsA:b1896
K00850	PfkA:b3916
K00821	ArgD:b3359
K07640	CpxA:b3911
K02402	FlhC:b1891
K02556	MotA:b1890
K17722	PreT:b2146
K02619	PabC:b1096
K09458	FabF:b1095
K02078	AcpP:b1094
K00059	FabG:b1093
K00645	FabD:b1092
K00648	FabH:b1091
K03621	PlsX:b1090
K02341	HolB:b1099
K00943	Tmk:b1098
K10009	YecS:b1918
K10026	QueE:b2777
K01689	Eno:b2779
K04774	SohB:b1272
K00798	BtuR:b1270
K01497	RibA:b1277
K01681	AcnA:b1276
K13634	CysB:b1275
K03168	TopA:b1274
K01096	PgpB:b1278
K01002	OpgB:b4359
K03703	UvrC:b1913
K01153	HsdR:b4350
K05874	Tsr:b4355
K01669	Phr:b0708
K10680	NemA:b1650
K03724	Lhr:b1653
K01887	ArgS:b1876
K07390	GrxD:b1654
K08156	YdhP:b1657
K07812	TorZ:b1872
K03604	PurR:b1658
K06188	AqpZ:b0875
K11933	Hcr:b0872
K03516	FlhE:b1878
K01620	LtaE:b0870
K00156	PoxB:b0871
K04084	DsbD:b4136
K02455	GspF:b3327
K03765	CadC:b4133
K01582	CadA:b4131
K01744	AspA:b4139
K00027	MaeA:b1479
K13953	AdhP:b1478
K08349	FdnH:b1475
K08348	FdnG:b1474
K08350	FdnI:b1476
K02682	PpdD:b0108
K13654	McbR:b1450
K01953	AsnB:b0674
K02565	NagC:b0676
K01443	NagA:b0677
K14223	GlnU:b0670
K14228	LeuW:b0672
K14230	MetT:b0673
K02564	NagB:b0678
K02802	NagE:b0679
K02959	RpsP:b2609
K02909	YkgM:b0296
K07709	ZraS:b4003
K07803	ZraP:b4002
K05787	HupA:b4000
K00123	YdeP:b1501
K00602	PurH:b4006
K01945	PurD:b4005
K07713	ZraR:b4004
K05801	DjlA:b0055
K01980	RrlE:b4009
K14224	GltV:b4008
K02528	RsmA:b0051
K00097	PdxA:b0052
K03771	SurA:b0053
K00831	SerC:b0907
K10805	TesB:b0452
K04069	PflA:b0902
K00656	PflB:b0903
K00661	Maa:b0459
K00800	AroA:b0908
K07387	YcaL:b0909
K03639	MoaA:b0781
K07664	BaeR:b2079
K02362	EntD:b0583
K02575	NarK:b1223
K01977	RrsE:b4007
K12340	TolC:b3035
K01515	NudF:b3034
K02622	ParE:b3030
K08567	HybD:b2993
K01980	RrlG:b2589
K01585	SpeA:b2938
K03080	YiaS:b3583
K03082	YiaR:b3582
K03081	YiaQ:b3581
K00880	LyxK:b3580
K13954	YiaY:b3589
K00138	AldB:b3588
K05819	MhpT:b0353
K02048	Sbp:b3917
K02403	FlhD:b1892
K12369	DppB:b3543
K07662	CpxR:b3912
K08191	ExuT:b3093
K03767	PpiA:b3363
K04095	Fic:b3361
K01664	PabA:b3360
K00363	NirD:b3366
K00362	NirB:b3365
K06141	TsgA:b3364
K01977	RrsC:b3756
K02302	CysG:b3368
K00883	DgoK:b3693
K08194	DgoT:b3691
K02470	GyrB:b3699
K14232	ProL:b2189
K13896	YejF:b2180
K07552	Bcr:b2182
K06183	RsuA:b2183
K02897	RplY:b2185
K03495	MnmG:b3741
K03501	RsmG:b3740
K03718	AsnC:b3743
K00266	GltD:b3213
K00265	GltB:b3212
K14219	ArgW:b2348
K07648	ArcB:b3210
K10441	RbsA:b3749
K06726	RbsD:b3748
K03687	GrpE:b2614
K00858	NadK:b2615
K08296	SixA:b2340
K01782	FadJ:b2341
K16328	PsuK:b2166
K02769	FruA:b2167
K16329	PsuG:b2165
K10213	RihB:b2162
K00882	FruK:b2168
K02768	FruB:b2169
K03407	CheA:b1888
K02557	MotB:b1889
K07236	YheM:b3344
K04761	OxyR:b3961
K01755	ArgH:b3960
K03413	CheY:b1882
K00322	SthA:b3962
K00575	CheR:b1884
K05877	Tap:b1885
K01776	MurI:b3967
K03408	CheW:b1887
K01951	GuaA:b2507
K11175	PurN:b2500
K00937	Ppk:b2501
K01514	Ppx:b2502
K00088	GuaB:b2508
K03601	XseA:b2509
K02394	FlgI:b1080
K02395	FlgJ:b1081
K02396	FlgK:b1082
K02397	FlgL:b1083
K08300	Rne:b1084
K02456	GspG:b3328
K06179	RluC:b1086
K02970	RpsU:b3065
K02911	RpmF:b1089
K02992	RpsG:b3341
K00041	UxaB:b1521
K00390	CysH:b2762
K00381	CysI:b2763
K00380	CysJ:b2764
K01737	QueD:b2765
K02031	OppD:b1246
K06178	RluB:b1269
K01657	TrpE:b1264
K01695	TrpA:b1260
K01696	TrpB:b1261
K13498	TrpC:b1262
K13497	TrpD:b1263
K13639	SoxR:b4063
K00215	DapB:b0031
K06901	YjcD:b4064
K01876	AspS:b1866
K09001	AnmK:b1640
K08310	NudB:b1865
K04565	SodC:b1646
K01159	RuvC:b1863
K03551	RuvB:b1860
K03550	RuvA:b1861
K08160	MdfA:b0842
K06153	YbjG:b0841
K11534	DeoR:b0840
K01676	FumB:b4122
K07792	DcuB:b4123
K07703	DcuR:b4124
K01682	AcnB:b0118
K00627	AceF:b0115
K04567	LysU:b4129
K00382	Lpd:b0116
K05799	PdhR:b0113
K08345	NarZ:b1468
K02575	NarU:b1469
K00675	NhoA:b1463
K01821	PptA:b1461
K08361	NarW:b1466
K08346	NarY:b1467
K08347	NarV:b1465
K08225	EntS:b0591
K02015	FepD:b0590
K02361	EntC:b0593
K02016	FepB:b0592
K01252	EntB:b0595
K02363	EntE:b0594
K00216	EntA:b0596
K08317	YbdH:b0599
K14287	YbdL:b0600
K03386	AhpC:b0605
K03805	DsbG:b0604
K03527	IspH:b0029
K08321	LsrF:b1517
K10556	LsrC:b1514
K10557	LsrD:b1515
K11531	LsrR:b1512
K00548	MetH:b4019
K11216	LsrK:b1511
K01638	AceB:b4014
K01637	AceA:b4015
K00906	AceK:b4016
K11753	RibF:b0025
K03827	YjaB:b4012
K00651	MetA:b4013
K07665	CusR:b0571
K06162	PhnM:b4095
K07688	FimZ:b0535
K02049	SsuB:b0933
K01256	PepN:b0932
K00763	PncB:b0931
K01893	AsnS:b0930
K00299	SsuE:b0937
K02051	SsuA:b0936
K04091	SsuD:b0935
K02050	SsuC:b0934
K07356	SfmH:b0533
K01920	GshB:b2947
K06167	PhnP:b4092
K07352	SfmA:b0530
K01908	PrpE:b0335
K01720	PrpD:b0334
K01485	CodA:b0337
K03417	PrpB:b0331
K02688	PrpR:b0330
K01659	PrpC:b0333
K01673	CynT:b0339
K11921	CynR:b0338
K03746	Hns:b1237
K05685	MacB:b0879
K02035	YgiS:b3020
K13655	MqsA:b3021
K07471	YgiV:b3023
K07666	QseB:b3025
K07645	QseC:b3026
K03637	MoaC:b0783
K01042	SelA:b3591
K07589	FolX:b2303
K02798	MtlA:b3599
K14234	ThrV:b3273
K00656	TdcE:b3114
K00932	TdcD:b3115
K01754	TdcB:b3117
K07592	TdcA:b3118
K10710	FrlD:b3374
K10711	FrlR:b3375
K10708	FrlB:b3371
K03482	YidP:b3684
K04081	IbpB:b3686
K04080	IbpA:b3687
K02750	GlvC:b3683
K03545	Tig:b0436
K00852	RbsK:b3752
K02529	RbsR:b3753
K14261	AlaC:b2379
K12974	LpxP:b2378
K02806	PtsN:b3204
K14224	GltU:b3757
K08485	Npr:b3206
K01577	Oxc:b2373
K01980	RrlC:b3758
K07679	EvgS:b2370
K07749	Frc:b2374
K01495	FolE:b2153
K02529	GalS:b2151
K00652	BioF:b0776
K01070	YeiG:b2154
K14229	LysV:b2404
K01151	Nfo:b2159
K11537	XapB:b2406
K14237	ValU:b2401
K01885	GltX:b2400
K14237	ValY:b2403
K14237	ValX:b2402
K14225	GlyT:b3978
K14234	ThrT:b3979
K00104	GlcD:b2979
K00075	MurB:b3972
K03524	BirA:b3973
K01980	RrlB:b3970
K01638	GlcB:b2976
K14234	ThrU:b3976
K02452	YghF:b2970
K00867	CoaA:b3974
K02654	PppA:b2972
K08303	YegQ:b2081
K03088	RpoE:b2573
K00278	NadB:b2574
K05590	SrmB:b2576
K06866	YfiD:b2579
K02393	FlgH:b1079
K02392	FlgG:b1078
K00700	GlgB:b3432
K02389	FlgD:b1075
K02388	FlgC:b1074
K02391	FlgF:b1077
K02390	FlgE:b1076
K02398	FlgM:b1071
K02438	GlgX:b3431
K02387	FlgB:b1073
K02386	FlgA:b1072
K08172	ShiA:b1981
K01241	Amn:b1982
K14220	AsnW:b1984
K13635	Cbl:b1987
K14220	AsnU:b1986
K14220	AsnV:b1989
K05709	HcaF:b2539
K05708	HcaE:b2538
K01823	Idi:b2889
K00334	NuoE:b2285
K12528	XdhD:b2881
K12529	YgfM:b2880
K01487	GuaD:b2883
K13292	Lgt:b2828
K00048	FucO:b2799
K06879	QueF:b2794
K01752	SdaB:b2797
K06175	TruC:b2791
K02680	PpdB:b2825
K07559	KptA:b4331
K05820	HcaT:b2536
K02835	PrfA:b1211
K02478	YehU:b2126
K02493	PrmC:b1212
K01627	KdsA:b1215
K03583	RecC:b2822
K00285	DadA:b1189
K01092	SuhB:b2533
K03503	UmuD:b1183
K03582	RecB:b2820
K03611	DsbB:b1185
K03502	UmuC:b1184
K03603	FadR:b1187
K03314	NhaB:b1186
K11073	PotF:b0854
K11076	PotG:b0855
K11075	PotH:b0856
K11074	PotI:b0857
K10678	NfsA:b0851
K03212	RumB:b0859
K00036	Zwf:b1852
K01690	Edd:b1851
K01625	Eda:b1850
K09815	ZnuA:b1857
K02560	LpxM:b1855
K00873	PykA:b1854
K00873	PykF:b1676
K09816	ZnuB:b1859
K09817	ZnuC:b1858
K11472	GlcE:b4468
K08354	YdhU:b1670
K11065	Tpx:b1324
K03721	TyrR:b1323
K00767	NadC:b0109
K02505	HofC:b0106
K02504	HofB:b0107
K00364	GuaC:b0104
K02035	MppA:b1329
K00859	CoaE:b0103
K12582	RffT:b4481
K03785	AroD:b1693
K05887	YdiB:b1692
K00609	PyrB:b4245
K00610	PyrI:b4244
K03485	TreR:b4241
K02818	TreB:b4240
eco_b4243	RidA:b4243
K01531	MgtA:b4242
K01759	GloA:b1651
K02364	EntF:b0586
K02013	FepC:b0588
K02015	FepG:b0589
K09477	CitT:b0612
K05966	CitG:b0613
K06140	Rnk:b0610
K01169	Rna:b0611
K01644	CitE:b0616
K01646	CitD:b0617
K05964	CitX:b0614
K01643	CitF:b0615
K01910	CitC:b0618
K07700	DpiB:b0619
K08227	LplT:b2835
K04564	SodB:b1656
K01895	Acs:b4069
K08298	CaiB:b0038
K08297	CaiA:b0039
K08324	Sad:b1525
K01425	YneH:b1524
K01956	CarA:b0032
K01955	CarB:b0033
K12700	RihC:b0030
K13631	SoxS:b4062
K08299	CaiD:b0036
K02182	CaiC:b0037
K08277	CaiF:b0034
K13069	YeaP:b1794
K05601	Hcp:b0873
K00813	AspC:b0928
K09476	OmpF:b0929
K03632	MukB:b0924
K03633	MukF:b0922
K03804	MukE:b0923
K13979	YahK:b0325
K00926	YahI:b0323
K06901	YgfQ:b4464
K11473	GlcF:b4467
K10538	AraH:b4460
K02453	GspD:b3325
K02452	GspC:b3324
K02451	GspB:b3322
K02906	RplC:b3320
K05710	HcaC:b2540
K00529	HcaD:b2542
K02457	GspH:b3329
K03553	RecA:b2699
K02469	GyrA:b2231
K02529	XylR:b3569
K10544	XylH:b3568
K01805	XylA:b3565
K00854	XylB:b3564
K10545	XylG:b3567
K10543	XylF:b3566
K01878	GlyQ:b3560
K05592	DeaD:b3162
K02956	RpsO:b3165
K00962	Pnp:b3164
K03177	TruB:b3166
K02519	InfB:b3168
K03645	SeqA:b0687
K02895	RplX:b3309
K02931	RplE:b3308
K02876	RplO:b3301
K03076	SecY:b3300
K02988	RpsE:b3303
K02907	RpmD:b3302
K02933	RplF:b3305
K02881	RplR:b3304
K02954	RpsN:b3307
K02994	RpsH:b3306
K13636	DsdC:b2364
K01753	DsdA:b2366
K07786	EmrY:b2367
K07797	EmrK:b2368
K07690	EvgA:b2369
K11258	IlvM:b3769
K14235	TrpT:b3761
K14221	AspT:b3760
K08483	PtsA:b3947
K08314	FsaB:b3946
K00688	MalP:b3417
K00705	MalQ:b3416
K10541	MglC:b2148
K10542	MglA:b2149
K00868	PdxK:b2418
K12525	MetL:b3940
K08483	PtsI:b2416
K02777	Crr:b2417
K01738	CysK:b2414
K02784	PtsH:b2415
K05541	DusC:b2140
K03556	MalT:b3418
K11203	FrwC:b3949
K01489	Cdd:b2143
K02851	Rfe:b3784
K02472	RffD:b3787
K01791	RffE:b3786
K03671	TrxA:b3781
K03732	RhlB:b3780
K02462	YghD:b2968
K02461	YghE:b2969
K14231	PheV:b2967
K03289	NupG:b2964
K01581	SpeC:b2965
K00973	RffH:b3789
K01710	RffG:b3788
K03439	TrmI:b2960
K03575	MutY:b2961
K02775	GatC:b2092
K02774	GatB:b2093
K00094	GatD:b2091
K08302	GatY:b2096
K01623	FbaB:b2097
K02773	GatA:b2094
K00917	GatZ:b2095
K05521	YegU:b2099
K02033	DdpB:b1486
K00997	AcpS:b2563
K03685	Rnc:b2567
K03474	PdxJ:b2564
K03584	RecO:b2565
K03100	LepB:b2568
K03980	MurJ:b1069
K03790	RimJ:b1066
K03675	GrxB:b1064
K02032	DdpF:b1483
K01465	PyrC:b1062
K02233	CobS:b1992
K02231	CobU:b1993
K00768	CobT:b1991
K11068	YqfA:b2899
K07462	RecJ:b2892
K03981	DsbC:b2893
K04567	LysS:b2890
K02836	PrfB:b2891
K04763	XerD:b2894
K02838	Frr:b0172
K03535	GudP:b2789
K07678	BarA:b2786
K01706	GudD:b2787
K00951	RelA:b2784
K03215	RumA:b2785
K01937	PyrG:b2780
K02428	MazG:b2781
K01686	UxuA:b4322
K00040	UxuB:b4323
K00919	IspE:b1208
K13637	UxuR:b4324
K03152	YajL:b0424
K05878	DhaK:b1200
K05880	DhaR:b1201
K00948	Prs:b1207
K01056	Pth:b1204
K05881	DhaM:b1198
K05879	DhaL:b1199
K03073	SecE:b3981
K01297	LdcA:b1192
K08308	EmtA:b1193
K01775	DadX:b1190
K01194	TreA:b1197
K01666	MhpE:b0352
K00656	YbiW:b0823
K07757	YbiV:b0822
K08313	FsaA:b0825
K04069	YbiY:b0824
K11996	MoeB:b0826
K13892	GsiA:b0829
K13051	IaaA:b0828
K03602	XseB:b0422
K08289	PurT:b1849
K10857	ExoX:b1844
K01354	PtrB:b1845
K00793	RibC:b1662
K14237	ValV:b1665
K02345	HolE:b1842
K02055	YdcS:b1440
K02052	YdcT:b1441
K01420	Fnr:b1334
K00567	Ogt:b1335
K00137	Prr:b1444
K03823	YncA:b1448
K01579	PanD:b0131
K00606	PanB:b0134
K09013	SufC:b1682
K11717	SufS:b1680
K02339	HolC:b4259
K03828	YjgM:b4256
K00611	ArgI:b4254
eco_b4255	RraB:b4255
K03644	LipA:b0628
K03425	TatE:b0627
K06177	RluA:b0058
K00247	FrdD:b4151
K03704	CspE:b0623
K12973	PagP:b0622
K01185	ArrD:b0555
K01733	ThrC:b0004
K00872	ThrB:b0003
K12524	ThrA:b0002
K03831	Mog:b0009
K00616	TalB:b0008
K00123	FdhF:b4079
K01284	Dcp:b1538
K00540	YdfG:b1539
K04014	NrfC:b4072
K04015	NrfD:b4073
K03385	NrfA:b4070
K04013	NrfB:b4071
K03712	MarR:b1530
K13632	MarA:b1531
K04016	NrfE:b4074
K04017	NrfF:b4075
K13053	SulA:b0958
eco_b0953	Rmf:b0953
K11751	UshA:b0480
K11923	CueR:b0487
K01716	FabA:b0954
K01425	YbaS:b0485
K01533	CopA:b0484
K02167	BetI:b0313
K00130	BetB:b0312
K00108	BetA:b0311
K13244	YahA:b0315
K01631	DgoA:b4477
K01974	RtcA:b4475
K01752	TdcG:b4471
K01684	DgoD:b4478
K02858	RibB:b3041
K07308	DmsC:b0896
K01983	Ffs:b0455
K08092	YiaK:b3575
K00835	AvtA:b3572
K01176	MalS:b3571
K14218	AlaW:b2397
K14218	AlaX:b2396
K01940	ArgG:b3172
K14230	MetY:b3171
K03431	GlmM:b3176
K00796	FolP:b3177
K14228	LeuU:b3174
K03075	SecG:b3175
K03798	FtsH:b3178
K02427	RlmE:b3179
K02892	RplW:b3318
K02926	RplD:b3319
K02904	RpmC:b3312
K02878	RplP:b3313
K02874	RplN:b3310
K02961	RpsQ:b3311
K11191	MurP:b2429
K02886	RplB:b3317
K02982	RpsC:b3314
K02890	RplV:b3315
K03186	UbiX:b2311
K10013	ArgT:b2310
K00764	PurF:b2312
K11754	FolC:b2315
K01963	AccD:b2316
K00133	Usg:b2319
K06173	TruA:b2318
K03656	Rep:b3778
K01524	Gpp:b3779
K00826	IlvE:b3770
K01687	IlvD:b3771
K01754	IlvA:b3772
K02521	IlvY:b3773
K00053	IlvC:b3774
K03769	PpiC:b3775
K11202	FrwB:b3950
K00656	PflD:b3951
K07638	EnvZ:b3404
K07106	MurQ:b2428
K01610	Pck:b3403
K01595	Ppc:b3956
K04083	HslO:b3401
K00145	ArgC:b3958
K00930	ArgB:b3959
K03777	Dld:b2133
K05349	BglX:b2132
K07262	PbpG:b2134
K00540	YohF:b2137
K02046	CysU:b2424
K14219	ArgX:b3796
K14226	HisR:b3797
K02852	RffM:b3794
K02853	WzyE:b3793
K02805	RffA:b3791
K02221	YggT:b2952
K02669	YggR:b2950
K01424	AnsB:b2957
K02495	YggW:b2955
K01516	RdgB:b2954
K11991	TadA:b2559
K01952	PurL:b2557
K00626	AtoB:b2224
K07715	GlrR:b2554
K01034	AtoD:b2221
K05916	Hmp:b2552
K00600	GlyA:b2551
K01035	AtoA:b2222
K01043	WcaL:b2044
K02846	SolA:b1059
K01710	RfbB:b2041
K00067	RfbD:b2040
K00963	GalF:b2042
K08161	MdtG:b1053
K00971	CpsB:b2049
